Company,Company Type,Location,Rating
TCS,IT Services & Consulting,Bengaluru +448 other locations,3.3
Accenture,IT Services & Consulting,Bengaluru +261 other locations,3.7
Wipro,IT Services & Consulting,Hyderabad +375 other locations,3.6
Cognizant,IT Services & Consulting,Hyderabad +233 other locations,3.7
Capgemini,IT Services & Consulting,Bengaluru +186 other locations,3.6
HDFC Bank,Banking,Mumbai +1858 other locations,3.8
Infosys,IT Services & Consulting,Bengaluru +247 other locations,3.5
HCLTech,IT Services & Consulting,Chennai +231 other locations,3.4
ICICI Bank,Banking,Mumbai +1446 other locations,3.9
Tech Mahindra,IT Services & Consulting,Hyderabad +323 other locations,3.3
Genpact,Analytics & KPO,Hyderabad +181 other locations,3.6
TP,BPO,Mumbai +258 other locations,3.9
Jio,Telecom,Mumbai +1965 other locations,4.4
Axis Bank,Banking,Mumbai +1529 other locations,3.6
Concentrix Corporation,BPO,Bengaluru +185 other locations,3.6
Amazon,Internet,Bengaluru +520 other locations,3.9
Reliance Retail,Retail,Mumbai +1166 other locations,3.9
iEnergizer,BPO,Noida +53 other locations,4.6
LTIMindtree,IT Services & Consulting,Bengaluru +145 other locations,3.6
HDB Financial Services,NBFC,Mumbai +1098 other locations,3.9
IBM,IT Services & Consulting,Bengaluru +162 other locations,3.9
Larsen & Toubro Limited,Engineering & Construction,Mumbai +776 other locations,3.9
Deloitte,Management Consulting,Hyderabad +186 other locations,3.6
Kotak Mahindra Bank,Banking,Mumbai +693 other locations,3.6
Reliance Industries,Oil & Gas,Jamnagar +822 other locations,4.0
Vodafone Idea,Telecom,Pune +707 other locations,3.9
Bharti Airtel,Telecom,Gurugram +797 other locations,3.8
BYJU'S,EdTech,Bengaluru +321 other locations,3.2
WNS,IT Services & Consulting,Pune +66 other locations,3.3
IDFC FIRST Bank,Banking,Mumbai +742 other locations,3.9
Ernst & Young,Management Consulting,Bengaluru +135 other locations,3.4
IndusInd Bank,Banking,Mumbai +802 other locations,3.4
AU Small Finance Bank,Banking,Jaipur +806 other locations,3.8
Tata Motors,Automobile,Pune +507 other locations,4.1
Bajaj Finserv,NBFC,Pune +1213 other locations,3.9
Muthoot FinCorp,NBFC,Bengaluru +1125 other locations,4.5
Flipkart,Internet,Bengaluru +558 other locations,3.9
PwC,Management Consulting,Bengaluru +137 other locations,3.3
HDFC Life,Insurance,Mumbai +719 other locations,3.8
Mahindra & Mahindra,Automobile,Pune +569 other locations,4.0
Infosys BPM,BPO,Bengaluru +95 other locations,3.5
DXC Technology,IT Services & Consulting,Bengaluru +131 other locations,3.6
Bandhan Bank,Banking,Kolkata +1019 other locations,3.7
Digitide Solutions,IT Services & Consulting,Hyderabad +275 other locations,3.5
Yes Bank,Banking,Mumbai +544 other locations,3.7
Mphasis,IT Services & Consulting,Bengaluru +63 other locations,3.3
Tata Steel,Iron & Steel,Jamshedpur +228 other locations,4.0
Quess,Recruitment,Bengaluru +764 other locations,3.8
Asian Paints,Chemicals,Mumbai +560 other locations,3.9
Startek,BPO,Bengaluru +104 other locations,3.0
UltraTech Cement,Building Material,Mumbai +544 other locations,4.1
Maruti Suzuki,Automobile,Gurugram +459 other locations,4.1
Paytm,FinTech,Noida +428 other locations,3.2
Bajaj Finance,NBFC,Pune +1007 other locations,3.9
Shriram Finance,NBFC,Chennai +1126 other locations,3.9
Sutherland Global Services,BPO,Chennai +82 other locations,3.4
Equitas Small Finance Bank,Banking,Chennai +486 other locations,4.3
Coforge,IT Services & Consulting,Hyderabad +113 other locations,3.3
Wells Fargo,Financial Services,Bengaluru +27 other locations,3.6
Cipla,Pharma,Mumbai +296 other locations,4.1
EXL Service,Analytics & KPO,Noida +62 other locations,3.6
Ericsson,Telecom,Noida +161 other locations,3.9
Samsung,Consumer Electronics & Appliances,Noida +582 other locations,3.9
Dr. Reddy's,Pharma,Hyderabad +216 other locations,4.0
Optum Global Solutions,IT Services & Consulting,Hyderabad +69 other locations,4.0
JSW Steel,Iron & Steel,Ballari +200 other locations,3.9
Delhivery,Logistics,Gurugram +767 other locations,3.8
JPMorgan Chase & Co.,Financial Services,Bengaluru +56 other locations,3.8
ICICI Prudential Life Insurance,Insurance,Mumbai +513 other locations,3.9
Hexaware Technologies,IT Services & Consulting,Chennai +71 other locations,3.4
Ujjivan Small Finance Bank,Banking,Bengaluru +546 other locations,4.0
Sun Pharmaceutical Industries,Pharma,Vadodara +265 other locations,4.0
Jana Small Finance Bank,Banking,Bengaluru +428 other locations,3.7
Zydus Lifesciences,Pharma,Ahmedabad +184 other locations,4.0
Ekart Logistics,Logistics,Bengaluru +741 other locations,3.9
HGS,Emerging Technologies,Bengaluru +122 other locations,3.7
Amazon Development Centre India,Internet,Hyderabad +146 other locations,3.8
KPMG India,Management Consulting,Bengaluru +112 other locations,3.4
Lupin,Pharma,Pune +205 other locations,4.1
Axis Max Life Insurance,Insurance,New Delhi +512 other locations,4.0
L&T Construction,Engineering & Construction,Chennai +436 other locations,4.0
ITC,FMCG,Bengaluru +381 other locations,3.9
Hindustan Unilever,FMCG,Mumbai +549 other locations,4.2
Megha Engineering & Infrastructures,Engineering & Construction,Hyderabad +412 other locations,3.9
Tata Projects,Engineering & Construction,Mumbai +288 other locations,4.2
Cholamandalam Investment & Finance,Financial Services,Chennai +872 other locations,3.8
Bajaj Life Insurance,Insurance,Pune +623 other locations,3.8
L&T Technology Services,IT Services & Consulting,Bengaluru +95 other locations,3.1
FIS,FinTech,Pune +61 other locations,3.8
Oracle,Software Product,Bengaluru +56 other locations,3.3
Omega Healthcare,BPO,Chennai +70 other locations,3.8
JLL,Real Estate,Gurugram +88 other locations,4.1
Muthoot Finance,NBFC,Bengaluru +799 other locations,3.7
IIFL Finance,NBFC,Mumbai +819 other locations,4.0
eClerx,IT Services & Consulting,Pune +33 other locations,3.1
Indian Army,Defence & Aerospace,New Delhi +364 other locations,4.7
DMart,Retail,Mumbai +256 other locations,3.9
PolicyBazaar,Internet,Gurugram +161 other locations,3.7
Piramal Finance,NBFC,Mumbai +436 other locations,4.2
Virtusa Consulting Services,IT Services & Consulting,Hyderabad +56 other locations,3.7
Indiamart Intermesh,Internet,Noida +169 other locations,3.5
HSBC Group,Financial Services,Bengaluru +63 other locations,3.8
